Operation,Request time,Response time
Login,2/1/2023 03:34:23.860,2/1/2023 03:34:24.943
GetPaymentList,2/1/2023 03:47:15.090,2/1/2023 03:47:16.557
GetItem,2/1/2023 04:00:06.320,2/1/2023 04:00:07.920
ModifyItem,2/1/2023 04:12:57.550,2/1/2023 04:13:02.117
GetTrackingData,2/1/2023 04:25:48.780,2/1/2023 04:25:49.763
Login,2/1/2023 04:38:40.010,2/1/2023 04:38:40.243
GetOrderList,2/1/2023 04:51:31.240,2/1/2023 04:51:31.890
SendNotification,2/1/2023 05:04:22.470,2/1/2023 05:04:22.537
GetOrder,2/1/2023 05:17:13.700,2/1/2023 05:17:14.817
Login,2/1/2023 05:30:04.930,2/1/2023 05:30:05.130
AddItemToOrder,2/1/2023 05:42:56.160,2/1/2023 05:42:57.827
SendNotification,2/1/2023 05:55:47.390,2/1/2023 05:55:48.640
ModifyOrder,2/1/2023 06:08:38.620,2/1/2023 06:08:46.170
AddItemToOrder,2/1/2023 06:21:29.850,2/1/2023 06:21:31.267
GetOrderList,2/1/2023 06:34:21.080,2/1/2023 06:34:22.630
SetDeliveryAddress,2/1/2023 06:47:12.310,2/1/2023 06:47:13.343
AddItemToOrder,2/1/2023 07:00:03.540,2/1/2023 07:00:04.507
GetOrder,2/1/2023 07:12:54.770,2/1/2023 07:12:55.170
GetPaymentList,2/1/2023 07:25:46.000,2/1/2023 07:25:46.400
SendNotification,2/1/2023 07:38:37.230,2/1/2023 07:38:38.797
GetOrderList,2/1/2023 07:51:28.460,2/1/2023 07:51:29.810
GetItem,2/1/2023 08:04:19.690,2/1/2023 08:04:20.107
GetPaymentList,2/1/2023 08:17:10.920,2/1/2023 08:17:12.137
AddItemToOrder,2/1/2023 08:30:02.150,2/1/2023 08:30:03.400
ModifyOrder,2/1/2023 08:42:53.380,2/1/2023 08:43:02.930
GetPaymentList,2/1/2023 08:55:44.610,2/1/2023 08:55:45.277
Login,2/1/2023 09:08:35.840,2/1/2023 09:08:36.957
GetOrder,2/1/2023 09:21:27.070,2/1/2023 09:21:28.670
SetPayment,2/1/2023 09:34:18.300,2/1/2023 09:34:19.100
ModifyItem,2/1/2023 09:47:09.530,2/1/2023 09:47:10.130
GetItem,2/1/2023 10:00:00.760,2/1/2023 10:00:01.760
GetPaymentMethods,2/1/2023 10:12:51.990,2/1/2023 10:12:53.557
SendNotification,2/1/2023 10:25:43.220,2/1/2023 10:25:43.253
Login,2/1/2023 10:38:34.450,2/1/2023 10:38:34.583
ModifyItem,2/1/2023 10:51:25.680,2/1/2023 10:51:27.897
GetOrder,2/1/2023 11:04:16.910,2/1/2023 11:04:18.093
GetPaymentMethods,2/1/2023 11:17:08.140,2/1/2023 11:17:09.273
SetDeliveryAddress,2/1/2023 11:29:59.370,2/1/2023 11:30:01.020
GetOrder,2/1/2023 11:42:50.600,2/1/2023 11:42:50.633
AddItemToOrder,2/1/2023 11:55:41.830,2/1/2023 11:55:42.197
SetDeliveryAddress,2/1/2023 12:08:33.060,2/1/2023 12:08:33.893
GetPaymentMethods,2/1/2023 12:21:24.290,2/1/2023 12:21:24.707
ModifyOrder,2/1/2023 12:34:15.520,2/1/2023 12:34:18.287
AddItemToOrder,2/1/2023 12:47:06.750,2/1/2023 12:47:06.883
GetPaymentList,2/1/2023 12:59:57.980,2/1/2023 12:59:58.397
GetOrder,2/1/2023 13:12:49.210,2/1/2023 13:12:49.477
SetDeliveryAddress,2/1/2023 13:25:40.440,2/1/2023 13:25:40.940
SendNotification,2/1/2023 13:38:31.670,2/1/2023 13:38:32.437
ModifyOrder,2/1/2023 13:51:22.900,2/1/2023 13:51:29.700
SetDeliveryAddress,2/1/2023 14:04:14.130,2/1/2023 14:04:14.680
GetTrackingData,2/1/2023 14:17:05.360,2/1/2023 14:17:05.943
SetDeliveryAddress,2/1/2023 14:29:56.590,2/1/2023 14:29:56.790
ModifyItem,2/1/2023 14:42:47.820,2/1/2023 14:42:52.320
ModifyItem,2/1/2023 14:55:39.050,2/1/2023 14:55:45.217
SetPayment,2/1/2023 15:08:30.280,2/1/2023 15:08:30.630
GetOrderList,2/1/2023 15:21:21.510,2/1/2023 15:21:22.410
SendNotification,2/1/2023 15:34:12.740,2/1/2023 15:34:14.373
ModifyItem,2/1/2023 15:47:03.970,2/1/2023 15:47:13.437
GetItem,2/1/2023 15:59:55.200,2/1/2023 15:59:56.383
Login,2/1/2023 16:12:46.430,2/1/2023 16:12:47.780
GetPaymentList,2/1/2023 16:25:37.660,2/1/2023 16:25:38.593
SetPayment,2/1/2023 16:38:28.890,2/1/2023 16:38:30.073
GetPaymentMethods,2/1/2023 16:51:20.120,2/1/2023 16:51:21.437
GetOrderList,2/1/2023 17:04:11.350,2/1/2023 17:04:11.967
GetOrder,2/1/2023 17:17:02.580,2/1/2023 17:17:04.180
GetPaymentList,2/1/2023 17:29:53.810,2/1/2023 17:29:55.327
GetTrackingData,2/1/2023 17:42:45.040,2/1/2023 17:42:45.807
GetPaymentMethods,2/1/2023 17:55:36.270,2/1/2023 17:55:37.770
ModifyOrder,2/1/2023 18:08:27.500,2/1/2023 18:08:35.167
SetDeliveryAddress,2/1/2023 18:21:18.730,2/1/2023 18:21:19.680
AddItemToOrder,2/1/2023 18:34:09.960,2/1/2023 18:34:10.427
AddItemToOrder,2/1/2023 18:47:01.190,2/1/2023 18:47:01.890
GetItem,2/1/2023 18:59:52.420,2/1/2023 18:59:53.070
GetItemList,2/1/2023 19:12:43.650,2/1/2023 19:12:44.233
GetPaymentMethods,2/1/2023 19:25:34.880,2/1/2023 19:25:36.147
GetTrackingData,2/1/2023 19:38:26.110,2/1/2023 19:38:26.810
AddItemToOrder,2/1/2023 19:51:17.340,2/1/2023 19:51:17.373
GetPaymentMethods,2/1/2023 20:04:08.570,2/1/2023 20:04:09.853
SetPayment,2/1/2023 20:16:59.800,2/1/2023 20:16:59.950
GetOrder,2/1/2023 20:29:51.030,2/1/2023 20:29:52.347
ModifyItem,2/1/2023 20:42:42.260,2/1/2023 20:42:50.410
ModifyItem,2/1/2023 20:55:33.490,2/1/2023 20:55:40.190
ModifyOrder,2/1/2023 21:08:24.720,2/1/2023 21:08:31.087
GetTrackingData,2/1/2023 21:21:15.950,2/1/2023 21:21:17.233
GetPaymentList,2/1/2023 21:34:07.180,2/1/2023 21:34:08.163
SetDeliveryAddress,2/1/2023 21:46:58.410,2/1/2023 21:46:59.010
SetPayment,2/1/2023 21:59:49.640,2/1/2023 21:59:51.123
GetPaymentMethods,2/1/2023 22:12:40.870,2/1/2023 22:12:42.537
GetTrackingData,2/1/2023 22:25:32.100,2/1/2023 22:25:33.433
GetItem,2/1/2023 22:38:23.330,2/1/2023 22:38:24.080
GetOrderList,2/1/2023 22:51:14.560,2/1/2023 22:51:14.710
GetTrackingData,2/1/2023 23:04:05.790,2/1/2023 23:04:07.057
GetOrderList,2/1/2023 23:16:57.020,2/1/2023 23:16:57.320
ModifyOrder,2/1/2023 23:29:48.250,2/1/2023 23:29:52.567
GetPaymentMethods,2/1/2023 23:42:39.480,2/1/2023 23:42:40.047
Login,2/1/2023 23:55:30.710,2/1/2023 23:55:31.093
GetTrackingData,3/1/2023 00:08:21.940,3/1/2023 00:08:22.957
AddItemToOrder,3/1/2023 00:21:13.170,3/1/2023 00:21:13.520
SetPayment,3/1/2023 00:34:04.400,3/1/2023 00:34:05.600
GetTrackingData,3/1/2023 00:46:55.630,3/1/2023 00:46:56.763
ModifyItem,3/1/2023 00:59:46.860,3/1/2023 00:59:47.110
GetPaymentMethods,3/1/2023 01:12:38.090,3/1/2023 01:12:38.340
ModifyItem,3/1/2023 01:25:29.320,3/1/2023 01:25:33.203
SetPayment,3/1/2023 01:38:20.550,3/1/2023 01:38:22.050
ModifyOrder,3/1/2023 01:51:11.780,3/1/2023 01:51:18.213
ModifyItem,3/1/2023 02:04:03.010,3/1/2023 02:04:12.977
SetPayment,3/1/2023 02:16:54.240,3/1/2023 02:16:54.273
GetPaymentList,3/1/2023 02:29:45.470,3/1/2023 02:29:46.870
GetTrackingData,3/1/2023 02:42:36.700,3/1/2023 02:42:37.533
AddItemToOrder,3/1/2023 02:55:27.930,3/1/2023 02:55:28.513
GetOrderList,3/1/2023 03:08:19.160,3/1/2023 03:08:19.960
GetItem,3/1/2023 03:21:10.390,3/1/2023 03:21:12.007
GetItemList,3/1/2023 03:34:01.620,3/1/2023 03:34:01.920
SendNotification,3/1/2023 03:46:52.850,3/1/2023 03:46:54.317
GetItem,3/1/2023 03:59:44.080,3/1/2023 03:59:44.580
Login,3/1/2023 04:12:35.310,3/1/2023 04:12:36.477
ModifyOrder,3/1/2023 04:25:26.540,3/1/2023 04:25:36.140
GetItem,3/1/2023 04:38:17.770,3/1/2023 04:38:18.153
AddItemToOrder,3/1/2023 04:51:09.000,3/1/2023 04:51:10.050
GetPaymentMethods,3/1/2023 05:04:00.230,3/1/2023 05:04:01.513
GetTrackingData,3/1/2023 05:16:51.460,3/1/2023 05:16:51.893
GetItemList,3/1/2023 05:29:42.690,3/1/2023 05:29:43.840
ModifyOrder,3/1/2023 05:42:33.920,3/1/2023 05:42:40.637
ModifyOrder,3/1/2023 05:55:25.150,3/1/2023 05:55:27.200
AddItemToOrder,3/1/2023 06:08:16.380,3/1/2023 06:08:16.897
Login,3/1/2023 06:21:07.610,3/1/2023 06:21:09.060
ModifyItem,3/1/2023 06:33:58.840,3/1/2023 06:34:07.157
GetOrderList,3/1/2023 06:46:50.070,3/1/2023 06:46:50.487
Login,3/1/2023 06:59:41.300,3/1/2023 06:59:42.783
ModifyOrder,3/1/2023 07:12:32.530,3/1/2023 07:12:34.513
Login,3/1/2023 07:25:23.760,3/1/2023 07:25:24.193
GetPaymentList,3/1/2023 07:38:14.990,3/1/2023 07:38:16.123
GetItem,3/1/2023 07:51:06.220,3/1/2023 07:51:07.553
GetPaymentList,3/1/2023 08:03:57.450,3/1/2023 08:03:58.900
GetPaymentMethods,3/1/2023 08:16:48.680,3/1/2023 08:16:50.347
ModifyItem,3/1/2023 08:29:39.910,3/1/2023 08:29:41.560
GetPaymentList,3/1/2023 08:42:31.140,3/1/2023 08:42:32.540
Login,3/1/2023 08:55:22.370,3/1/2023 08:55:23.770
GetPaymentMethods,3/1/2023 09:08:13.600,3/1/2023 09:08:13.917
AddItemToOrder,3/1/2023 09:21:04.830,3/1/2023 09:21:05.147
GetPaymentMethods,3/1/2023 09:33:56.060,3/1/2023 09:33:57.643
AddItemToOrder,3/1/2023 09:46:47.290,3/1/2023 09:46:47.573
GetTrackingData,3/1/2023 09:59:38.520,3/1/2023 09:59:38.787
GetTrackingData,3/1/2023 10:12:29.750,3/1/2023 10:12:30.967
AddItemToOrder,3/1/2023 10:25:20.980,3/1/2023 10:25:21.330
GetOrderList,3/1/2023 10:38:12.210,3/1/2023 10:38:12.727
GetItem,3/1/2023 10:51:03.440,3/1/2023 10:51:03.640
GetItem,3/1/2023 11:03:54.670,3/1/2023 11:03:55.170
GetTrackingData,3/1/2023 11:16:45.900,3/1/2023 11:16:46.983
Login,3/1/2023 11:29:37.130,3/1/2023 11:29:37.863
ModifyItem,3/1/2023 11:42:28.360,3/1/2023 11:42:33.677
SendNotification,3/1/2023 11:55:19.590,3/1/2023 11:55:20.673
GetItemList,3/1/2023 12:08:10.820,3/1/2023 12:08:11.837
GetOrder,3/1/2023 12:21:02.050,3/1/2023 12:21:02.833
GetItem,3/1/2023 12:33:53.280,3/1/2023 12:33:53.730
SetPayment,3/1/2023 12:46:44.510,3/1/2023 12:46:45.660
GetOrderList,3/1/2023 12:59:35.740,3/1/2023 12:59:37.090
ModifyItem,3/1/2023 13:12:26.970,3/1/2023 13:12:30.987
GetOrder,3/1/2023 13:25:18.200,3/1/2023 13:25:18.433
Login,3/1/2023 13:38:09.430,3/1/2023 13:38:10.047
ModifyItem,3/1/2023 13:51:00.660,3/1/2023 13:51:09.893
GetPaymentList,3/1/2023 14:03:51.890,3/1/2023 14:03:52.857
SetDeliveryAddress,3/1/2023 14:16:43.120,3/1/2023 14:16:44.053
GetPaymentList,3/1/2023 14:29:34.350,3/1/2023 14:29:35.167
GetOrderList,3/1/2023 14:42:25.580,3/1/2023 14:42:26.363
GetItem,3/1/2023 14:55:16.810,3/1/2023 14:55:16.977
GetOrder,3/1/2023 15:08:08.040,3/1/2023 15:08:09.257
ModifyOrder,3/1/2023 15:20:59.270,3/1/2023 15:21:09.120
Login,3/1/2023 15:33:50.500,3/1/2023 15:33:51.433
GetPaymentList,3/1/2023 15:46:41.730,3/1/2023 15:46:42.280
SetDeliveryAddress,3/1/2023 15:59:32.960,3/1/2023 15:59:33.227
GetItemList,3/1/2023 16:12:24.190,3/1/2023 16:12:25.490
GetPaymentMethods,3/1/2023 16:25:15.420,3/1/2023 16:25:16.103
Login,3/1/2023 16:38:06.650,3/1/2023 16:38:07.467
GetItemList,3/1/2023 16:50:57.880,3/1/2023 16:50:58.547
GetOrder,3/1/2023 17:03:49.110,3/1/2023 17:03:50.210
GetPaymentList,3/1/2023 17:16:40.340,3/1/2023 17:16:40.890
SetPayment,3/1/2023 17:29:31.570,3/1/2023 17:29:32.737
SendNotification,3/1/2023 17:42:22.800,3/1/2023 17:42:23.233
SendNotification,3/1/2023 17:55:14.030,3/1/2023 17:55:14.830
AddItemToOrder,3/1/2023 18:08:05.260,3/1/2023 18:08:05.427
GetTrackingData,3/1/2023 18:20:56.490,3/1/2023 18:20:56.790
SendNotification,3/1/2023 18:33:47.720,3/1/2023 18:33:47.903
GetOrder,3/1/2023 18:46:38.950,3/1/2023 18:46:40.533
SendNotification,3/1/2023 18:59:30.180,3/1/2023 18:59:30.980
GetItem,3/1/2023 19:12:21.410,3/1/2023 19:12:23.043
GetItem,3/1/2023 19:25:12.640,3/1/2023 19:25:13.990
GetItemList,3/1/2023 19:38:03.870,3/1/2023 19:38:04.337
SendNotification,3/1/2023 19:50:55.100,3/1/2023 19:50:55.200
Login,3/1/2023 20:03:46.330,3/1/2023 20:03:47.947
GetOrder,3/1/2023 20:16:37.560,3/1/2023 20:16:38.077
ModifyOrder,3/1/2023 20:29:28.790,3/1/2023 20:29:33.640
GetPaymentMethods,3/1/2023 20:42:20.020,3/1/2023 20:42:21.170
ModifyItem,3/1/2023 20:55:11.250,3/1/2023 20:55:18.217
GetTrackingData,3/1/2023 21:08:02.480,3/1/2023 21:08:02.580
GetPaymentMethods,3/1/2023 21:20:53.710,3/1/2023 21:20:54.727
GetTrackingData,3/1/2023 21:33:44.940,3/1/2023 21:33:46.407
GetOrder,3/1/2023 21:46:36.170,3/1/2023 21:46:36.220
GetOrderList,3/1/2023 21:59:27.400,3/1/2023 21:59:27.867
ModifyOrder,3/1/2023 22:12:18.630,3/1/2023 22:12:22.147
AddItemToOrder,3/1/2023 22:25:09.860,3/1/2023 22:25:10.277
GetPaymentList,3/1/2023 22:38:01.090,3/1/2023 22:38:01.357
SetPayment,3/1/2023 22:50:52.320,3/1/2023 22:50:52.603
GetPaymentList,3/1/2023 23:03:43.550,3/1/2023 23:03:44.950
SetDeliveryAddress,3/1/2023 23:16:34.780,3/1/2023 23:16:35.880
ModifyItem,3/1/2023 23:29:26.010,3/1/2023 23:29:33.793
GetOrderList,3/1/2023 23:42:17.240,3/1/2023 23:42:18.740
GetOrderList,3/1/2023 23:55:08.470,3/1/2023 23:55:09.103
GetPaymentMethods,4/1/2023 00:07:59.700,4/1/2023 00:08:00.350
GetPaymentMethods,4/1/2023 00:20:50.930,4/1/2023 00:20:51.463
SetPayment,4/1/2023 00:33:42.160,4/1/2023 00:33:42.760
SendNotification,4/1/2023 00:46:33.390,4/1/2023 00:46:33.773
Login,4/1/2023 00:59:24.620,4/1/2023 00:59:25.303
AddItemToOrder,4/1/2023 01:12:15.850,4/1/2023 01:12:17.283
GetOrderList,4/1/2023 01:25:07.080,4/1/2023 01:25:08.230
Login,4/1/2023 01:37:58.310,4/1/2023 01:37:58.810
GetItemList,4/1/2023 01:50:49.540,4/1/2023 01:50:51.023
GetTrackingData,4/1/2023 02:03:40.770,4/1/2023 02:03:41.053
ModifyOrder,4/1/2023 02:16:32.000,4/1/2023 02:16:34.850
GetOrder,4/1/2023 02:29:23.230,4/1/2023 02:29:23.347
AddItemToOrder,4/1/2023 02:42:14.460,4/1/2023 02:42:15.210
AddItemToOrder,4/1/2023 02:55:05.690,4/1/2023 02:55:07.340
GetItem,4/1/2023 03:07:56.920,4/1/2023 03:07:57.320
ModifyItem,4/1/2023 03:20:48.150,4/1/2023 03:20:51.983
Login,4/1/2023 03:33:39.380,4/1/2023 03:33:40.697
ModifyItem,4/1/2023 03:46:30.610,4/1/2023 03:46:38.710
SetDeliveryAddress,4/1/2023 03:59:21.840,4/1/2023 03:59:23.340
AddItemToOrder,4/1/2023 04:12:13.070,4/1/2023 04:12:13.237
GetPaymentList,4/1/2023 04:25:04.300,4/1/2023 04:25:05.567
AddItemToOrder,4/1/2023 04:37:55.530,4/1/2023 04:37:57.080
GetOrderList,4/1/2023 04:50:46.760,4/1/2023 04:50:48.143
GetItemList,4/1/2023 05:03:37.990,4/1/2023 05:03:39.207
GetPaymentList,4/1/2023 05:16:29.220,4/1/2023 05:16:30.603
GetPaymentList,4/1/2023 05:29:20.450,4/1/2023 05:29:21.350
GetOrderList,4/1/2023 05:42:11.680,4/1/2023 05:42:11.980
GetItem,4/1/2023 05:55:02.910,4/1/2023 05:55:04.527
GetItemList,4/1/2023 06:07:54.140,4/1/2023 06:07:55.207
SetPayment,4/1/2023 06:20:45.370,4/1/2023 06:20:46.370
ModifyOrder,4/1/2023 06:33:36.600,4/1/2023 06:33:44.867
GetOrder,4/1/2023 06:46:27.830,4/1/2023 06:46:28.430
ModifyOrder,4/1/2023 06:59:19.060,4/1/2023 06:59:28.793
GetOrder,4/1/2023 07:12:10.290,4/1/2023 07:12:10.840
GetPaymentList,4/1/2023 07:25:01.520,4/1/2023 07:25:03.187
GetItemList,4/1/2023 07:37:52.750,4/1/2023 07:37:53.983
GetOrderList,4/1/2023 07:50:43.980,4/1/2023 07:50:44.047
GetOrder,4/1/2023 08:03:35.210,4/1/2023 08:03:36.527
SetPayment,4/1/2023 08:16:26.440,4/1/2023 08:16:26.807
SetDeliveryAddress,4/1/2023 08:29:17.670,4/1/2023 08:29:17.887
AddItemToOrder,4/1/2023 08:42:08.900,4/1/2023 08:42:09.817
AddItemToOrder,4/1/2023 08:55:00.130,4/1/2023 08:55:00.480
GetOrder,4/1/2023 09:07:51.360,4/1/2023 09:07:52.910
SetPayment,4/1/2023 09:20:42.590,4/1/2023 09:20:43.257
SetDeliveryAddress,4/1/2023 09:33:33.820,4/1/2023 09:33:34.187
SetPayment,4/1/2023 09:46:25.050,4/1/2023 09:46:25.500
ModifyItem,4/1/2023 09:59:16.280,4/1/2023 09:59:18.513
AddItemToOrder,4/1/2023 10:12:07.510,4/1/2023 10:12:08.243
GetTrackingData,4/1/2023 10:24:58.740,4/1/2023 10:24:59.473
ModifyItem,4/1/2023 10:37:49.970,4/1/2023 10:37:57.537
GetPaymentList,4/1/2023 10:50:41.200,4/1/2023 10:50:41.217
SetDeliveryAddress,4/1/2023 11:03:32.430,4/1/2023 11:03:34.030
SetDeliveryAddress,4/1/2023 11:16:23.660,4/1/2023 11:16:25.327
Login,4/1/2023 11:29:14.890,4/1/2023 11:29:15.407
GetPaymentList,4/1/2023 11:42:06.120,4/1/2023 11:42:07.003
GetPaymentMethods,4/1/2023 11:54:57.350,4/1/2023 11:54:57.433
SetPayment,4/1/2023 12:07:48.580,4/1/2023 12:07:48.847
GetItem,4/1/2023 12:20:39.810,4/1/2023 12:20:40.977
AddItemToOrder,4/1/2023 12:33:31.040,4/1/2023 12:33:31.423
SendNotification,4/1/2023 12:46:22.270,4/1/2023 12:46:22.737
GetItem,4/1/2023 12:59:13.500,4/1/2023 12:59:14.700
GetPaymentList,4/1/2023 13:12:04.730,4/1/2023 13:12:06.263
ModifyItem,4/1/2023 13:24:55.960,4/1/2023 13:24:57.260
GetOrder,4/1/2023 13:37:47.190,4/1/2023 13:37:47.457
GetOrderList,4/1/2023 13:50:38.420,4/1/2023 13:50:39.020
GetPaymentMethods,4/1/2023 14:03:29.650,4/1/2023 14:03:30.700
GetItemList,4/1/2023 14:16:20.880,4/1/2023 14:16:21.230
GetPaymentMethods,4/1/2023 14:29:12.110,4/1/2023 14:29:13.777
ModifyOrder,4/1/2023 14:42:03.340,4/1/2023 14:42:12.623
GetPaymentList,4/1/2023 14:54:54.570,4/1/2023 14:54:55.537
ModifyOrder,4/1/2023 15:07:45.800,4/1/2023 15:07:49.850
GetOrder,4/1/2023 15:20:37.030,4/1/2023 15:20:38.647
Login,4/1/2023 15:33:28.260,4/1/2023 15:33:28.810
SendNotification,4/1/2023 15:46:19.490,4/1/2023 15:46:21.107
ModifyItem,4/1/2023 15:59:10.720,4/1/2023 15:59:12.153
GetPaymentMethods,4/1/2023 16:12:01.950,4/1/2023 16:12:03.250
Login,4/1/2023 16:24:53.180,4/1/2023 16:24:54.463
GetOrder,4/1/2023 16:37:44.410,4/1/2023 16:37:45.127
Login,4/1/2023 16:50:35.640,4/1/2023 16:50:36.057
GetItemList,4/1/2023 17:03:26.870,4/1/2023 17:03:27.503
GetOrder,4/1/2023 17:16:18.100,4/1/2023 17:16:19.250
GetPaymentMethods,4/1/2023 17:29:09.330,4/1/2023 17:29:10.063
SetDeliveryAddress,4/1/2023 17:42:00.560,4/1/2023 17:42:01.793
ModifyItem,4/1/2023 17:54:51.790,4/1/2023 17:54:56.523
SendNotification,4/1/2023 18:07:43.020,4/1/2023 18:07:43.837
